Year,Area,Street,Street 2,Strange HTML
2011,Birmingham,Longí«street,Long street,
2011,Birmingham,Longí«Street.í«Sparkhill,Long Street. Sparkhill,
2011,Birmingham,Longbridgeí«Lane,Longbridge Lane,
2011,Birmingham," LONGMEADOWí«CRESCENTí«SHARDí«ENDí«,í«BHAM"," LONGMEADOW CRESCENT SHARD END , BHAM",
2011,Birmingham,Maccadowní«Lane,Maccadown Lane,
2011,Birmingham,masshouseí«lane,masshouse lane,
2011,Birmingham,Meadwaymí«Stechford,Meadwaym Stechford,
2011,Birmingham," Mickleoverí«Road,í«Bromford"," Mickleover Road, Bromford",
2011,Birmingham,moorcroftí«road,moorcroft road,
2011,Birmingham,Moseleyí«Road,Moseley Road,
2011,Birmingham,moseleyí«road,moseley road,
2011,Birmingham,moseleyí«road,moseley road,
2011,Birmingham,moseleyí«road,moseley road,
2011,Birmingham,Moseleyí«Village,Moseley Village,
2011,Birmingham,Moseleyí«Village,Moseley Village,
2011,Birmingham," Moseleyí«Village,í«Alcesterí«road"," Moseley Village, Alcester road",
2011,Birmingham," Mosleyí«Allí«Servicesí«Club,í«Churchí«Road,í«Moseley."," Mosley All Services Club, Church Road, Moseley.",
2011,Birmingham,Nearlandsí«Closeí«Quinton,Nearlands Close Quinton,
2011,Birmingham,newí«street,new street,
2011,Birmingham,Northfieldí«Highí«Street,Northfield High Street,
2011,Birmingham," O/Sí«BEHANS,í«HIGHFIELDí«ROAD,í«BILLESLEY"," O/S BEHANS, HIGHFIELD ROAD, BILLESLEY",
2011,Birmingham," O/Sí«Theí«junction,í«Mosleyí«Village"," O/S The junction, Mosley Village",
2011,Birmingham,O/Sí«Washwoodí«Heathí«road,O/S Washwood Heath road,
2011,Birmingham," Oakhillí«Road,í«Acocksí«Green"," Oakhill Road, Acocks Green",
2011,Birmingham,Oppí«whiteí«hartí«laneí«cooksí«lane,Opp white hart lane cooks lane,
2011,Birmingham," Opposite,í«ALDI,í«Stratfordí«Road"," Opposite, ALDI, Stratford Road",
2011,Birmingham,Outsideí«Javaí«loungeí«Alcesterí«Road,Outside Java lounge Alcester Road,
2011,Birmingham,Outsideí«O2í«Academyí«Nightí«Clubí«B'hamí«Cityí«Centre,Outside O2 Academy Night Club B'ham City Centre,
2011,Birmingham,outsideí«ravení«publicí«house,outside raven public house,
2011,Birmingham," Packingtoní«Avenue,í«Shardí«End"," Packington Avenue, Shard End",
2011,Birmingham,parkí«offí«hobí«moorí«road,park off hob moor road,
2011,Birmingham,Parkhallí«Croft,Parkhall Croft,
2011,Birmingham,Pearí«Treeí«PH,Pear Tree PH,
2011,Birmingham,Policeí«station,Police station,
2011,Birmingham,Policeí«Stationí«Stechford,Police Station Stechford,
2011,Birmingham,poplarí«road,poplar road,
2011,Birmingham,Poplarí«road,Poplar road,
2011,Birmingham," poplarí«roadí«,í«solihull"," poplar road , solihull",
2011,Birmingham," poplarí«road,í«solihull"," poplar road, solihull",
2011,Birmingham,Prestoní«Road,Preston Road,
2011,Birmingham," Prioryí«Road,í«Hallí«Green"," Priory Road, Hall Green",
2011,Birmingham,prospectí«road,prospect road,
2011,Birmingham,queenswoodí«road,queenswood road,
2011,Birmingham," rearí«ofí«boots,í«highí«street"," rear of boots, high street",
2011,Birmingham," REDDINGSí«LANE,í«TSYLEY"," REDDINGS LANE, TSYLEY",
2011,Birmingham," Richmondí«Primaryí«Careí«Centre,í«Richmondí«Road,í«Stechford"," Richmond Primary Care Centre, Richmond Road, Stechford",
2011,Birmingham," ringí«road,í«stourbridge"," ring road, stourbridge",
2011,Birmingham," sainsburys,í«wawrickí«road"," sainsburys, wawrick road",
2011,Birmingham,sainsburys.í«alcesterí«roadí«south,sainsburys. alcester road south,
2011,Birmingham,Sandfordí«Roadí«Moseley,Sandford Road Moseley,
2011,Birmingham,Sareholeí«Mill,Sarehole Mill,
2011,Birmingham,Sedgemereí«Road,Sedgemere Road,
2011,Birmingham,Shirleyí«Road,Shirley Road,
2011,Birmingham,SHirleyí«Road,SHirley Road,
2011,Birmingham,Snowí«Hill,Snow Hill,
2011,Birmingham,Solihullí«Lane,Solihull Lane,
2011,Birmingham," Stí«Mary'sí«Road,í«Moseley"," St Mary's Road, Moseley",
2011,Birmingham,Stí«Marysí«Row,St Marys Row,
2011,Birmingham,stationí«road,station road,
2011,Birmingham," Stationí«Way,í«Birminghamí«Internationalí«railí«Station"," Station Way, Birmingham International rail Station",
2011,Birmingham,Stechfordí«frontí«office,Stechford front office,
2011,Birmingham,Stechfordí«P.S.,Stechford P.S.,
2011,Birmingham,Stechfordí«Retailí«Park.,Stechford Retail Park.,
2011,Birmingham,Stonehengeí«croftí«Druidsí«heath,Stonehenge croft Druids heath,
2011,Birmingham,Stoneyí«Lane,Stoney Lane,
2011,Birmingham,Stoneyí«Lane,Stoney Lane,
2011,Birmingham,stoneyí«lane,stoney lane,
2011,Birmingham," STRATFORDí«HEATH,í«SPARKí«HILL,í«BIRMINGHAM"," STRATFORD HEATH, SPARK HILL, BIRMINGHAM",
2011,Birmingham,stratfordí«road,stratford road,
2011,Birmingham,Stratfordí«road,Stratford road,
2011,Birmingham,Stratfordí«Road,Stratford Road,
2011,Birmingham," stratfordí«road,í«hallí«green"," stratford road, hall green",
2011,Birmingham,stratfordí«roads,stratford roads,
2011,Birmingham," Stuartí«Road,í«Stechford"," Stuart Road, Stechford",
2011,Birmingham,talbortí«street,talbort street,
2011,Birmingham,Tauntoní«Road,Taunton Road,
2011,Birmingham,Tavistockí«road,Tavistock road,
2011,Birmingham,Theí«avenue,The avenue,
2011,Birmingham,Theí«paerí«treeí«pub,The paer tree pub,
2011,Birmingham,Trafalgerí«Road,Trafalger Road,
2011,Birmingham,Wakeí«greení«Road,Wake green Road,
2011,Birmingham,Wardí«Endí«Road,Ward End Road,
2011,Birmingham,Warwickí«Road,Warwick Road,
2011,Birmingham,Warwickí«Road,Warwick Road,
2011,Birmingham,Warwickí«Road,Warwick Road,
2011,Birmingham,Warwickí«Road,Warwick Road,
2011,Birmingham,Warwickí«Road,Warwick Road,
2011,Birmingham,Warwickí«Roadí«Tysley,Warwick Road Tysley,
2011,Birmingham,Washí«lane,Wash lane,
2011,Birmingham,Washfordí«Heathí«Road,Washford Heath Road,
2011,Birmingham,Washwoodí«Heathí«pub,Washwood Heath pub,
2011,Birmingham," WASHWOODí«HEATHí«RD,í«WASHWOODí«HEATH,í«BHAM"," WASHWOOD HEATH RD, WASHWOOD HEATH, BHAM",
2011,Birmingham,Washwoodí«Heathí«road,Washwood Heath road,
2011,Birmingham,Washwoodí«Heathí«Road,Washwood Heath Road,
2011,Birmingham,Washwoodí«Heathí«Road,Washwood Heath Road,
2011,Birmingham,Washwoodí«Heathí«Road,Washwood Heath Road,
2011,Birmingham," Wateryí«Laneí«Middleway,í«Birmingham"," Watery Lane Middleway, Birmingham",
