"Year","Area","Street","Street.2","Strange.HTML"
2011,"","O S Behans  Highfield Rd  Billesley","O/S BEHANS, HIGHFIELD ROAD, BILLESLEY",""
2011,"","O S The Junction  Mosley Vlg","O/S The junction, Mosley Vlg",""
2011,"","O S Washwood Heath Rd","O/S Washwood Heath road",""
2011,"","Oakhill Rd  Acocks Green","Oakhill Rd, Acocks Green",""
2011,"","Opp White Hart Ln Cooks Ln","Opp white hart lane cooks lane",""
2011,"","Opposite  Aldi  Stratford Rd","Opposite, ALDI, Stratford Rd",""
2011,"","Outside Java Lounge Alcester Rd","Outside Java lounge Alcester Rd",""
2011,"","Outside O2 Academy Night Club B Ham City Centre","Outside O2 Academy Night Club B'ham City Centre",""
2011,"","Outside Raven Public House","outside raven public house",""
2011,"","Packington Ave  Shard End","Packington Ave, Shard End",""
2011,"","Park Off Hob Moor Rd","park off hob moor road",""
2011,"","Parkhall Croft","Parkhall Croft",""
2011,"","Pear Tree Ph","Pear Tree PH",""
2011,"","Police Station","Police station",""
2011,"","Police Station Stechford","Police Station Stechford",""
2011,"","Poplar Rd","poplar road",""
2011,"","Poplar Rd","Poplar road",""
2011,"","Poplar Rd   Solihull","poplar road , solihull",""
2011,"","Poplar Rd  Solihull","poplar road, solihull",""
2011,"","Preston Rd","Preston Rd",""
2011,"","Priory Rd  Hall Green","Priory Rd, Hall Green",""
2011,"","Prospect Rd","prospect road",""
2011,"","Queenswood Rd","queenswood road",""
2011,"","Rear Of Boots  High St","rear of boots, high street",""
2011,"","Reddings Ln  Tsyley","REDDINGS LANE, TSYLEY",""
2011,"","Richmond Primary Care Centre  Richmond Rd  Stechford","Richmond Primary Care Centre, Richmond Rd, Stechford",""
2011,"","Ring Rd  Stourbridge","ring road, stourbridge",""
2011,"","Sainsburys  Wawrick Rd","sainsburys, wawrick road",""
2011,"","Sainsburys  Alcester Rd South","sainsburys. alcester road south",""
2011,"","Sandford Rd Moseley","Sandford Rd Moseley",""
2011,"","Sarehole Mill","Sarehole Mill",""
2011,"","Sedgemere Rd","Sedgemere Rd",""
2011,"","Shirley Rd","Shirley Rd",""
2011,"","Shirley Rd","SHirley Rd",""
2011,"","Snow Hill","Snow Hill",""
2011,"","Solihull Ln","Solihull Ln",""
2011,"","St Mary S Rd  Moseley","St Mary's Rd, Moseley",""
2011,"","St Marys Row","St Marys Row",""
2011,"","Station Rd","station road",""
2011,"","Station Way  Birmingham International Rail Station","Station Way, Birmingham International rail Station",""
2011,"","Stechford Front Office","Stechford front office",""
