"Year","Area","Street","Street.2"
2011,"Birmingham","Shirley Rd",""
2011,"Birmingham","Shirley Rd","SHirley Rd"
2011,"Birmingham","Snow Hill",""
2011,"Birmingham","Solihull Ln",""
2011,"Birmingham","St Mary S Rd  Moseley","St Mary's Rd, Moseley"
2011,"Birmingham","St Marys Row",""
2011,"Birmingham","Station Rd","station road"
2011,"Birmingham","Station Way  Birmingham International Rail Station","Station Way, Birmingham International rail Station"
2011,"Birmingham","Stechford Front Office","Stechford front office"
2011,"Birmingham","Stechford P S ","Stechford P.S."
2011,"Birmingham","Stechford Retail Park ","Stechford Retail Park."
2011,"Birmingham","Stonehenge Croft Druids Heath","Stonehenge croft Druids heath"
2011,"Birmingham","Stoney Ln",""
2011,"Birmingham","Stoney Ln",""
2011,"Birmingham","Stoney Ln","stoney lane"
2011,"Birmingham","Stratford Heath  Spark Hill  Birmingham","STRATFORD HEATH, SPARK HILL, BIRMINGHAM"
2011,"Birmingham","Stratford Rd","stratford road"
2011,"Birmingham","Stratford Rd","Stratford road"
2011,"Birmingham","Stratford Rd",""
2011,"Birmingham","Stratford Rd  Hall Green","stratford road, hall green"
2011,"Birmingham","Stratford Rds","stratford roads"
2011,"Birmingham","Stuart Rd  Stechford","Stuart Rd, Stechford"
2011,"Birmingham","Talbort St","talbort street"
2011,"Birmingham","Taunton Rd",""
2011,"Birmingham","Tavistock Rd","Tavistock road"
2011,"Birmingham","The Ave","The avenue"
2011,"Birmingham","The Paer Tree Pub","The paer tree pub"
2011,"Birmingham","Trafalger Rd",""
2011,"Birmingham","Wake Green Rd","Wake green Rd"
2011,"Birmingham","Ward End Rd",""
2011,"Birmingham","Warwick Rd",""
2011,"Birmingham","Warwick Rd",""
2011,"Birmingham","Warwick Rd",""
2011,"Birmingham","Warwick Rd",""
2011,"Birmingham","Warwick Rd",""
2011,"Birmingham","Warwick Rd Tysley",""
2011,"Birmingham","Wash Ln","Wash lane"
2011,"Birmingham","Washford Heath Rd",""
2011,"Birmingham","Washwood Heath Pub","Washwood Heath pub"
2011,"Birmingham","Washwood Heath Rd  Washwood Heath  Bham","WASHWOOD HEATH RD, WASHWOOD HEATH, BHAM"
2011,"Birmingham","Washwood Heath Rd","Washwood Heath road"
2011,"Birmingham","Washwood Heath Rd",""
2011,"Birmingham","Washwood Heath Rd",""
2011,"Birmingham","Washwood Heath Rd",""
2011,"Birmingham","Watery Ln Middleway  Birmingham","Watery Ln Middleway, Birmingham"
2011,"Birmingham","Wawrick Rd","wawrick road"
2011,"Birmingham","Welshfarm Rd  Quinton","Welshfarm Rd, Quinton"
2011,"Birmingham","Westley Rd",""
2011,"Birmingham","Westley Rd  Acocks Green","Westley Rd, Acocks Green"
2011,"Birmingham","White Hart Public House",""
2011,"Birmingham","White Hart Public House",""
2011,"Birmingham","Whiteheart Pub  Gressell Ln","Whiteheart pub, Gressell Ln"
2011,"Birmingham","William Hill Bookmakers  Washwood Heath Rd","William Hill Bookmakers, Washwood Heath Rd"
2011,"Birmingham","William Hill Bookmakers  Washwood Heath Rd","William Hill Bookmakers, Washwood Heath Rd"
2011,"Birmingham","William Hill Washwood Heath Rd",""
2011,"Birmingham","Windward Rd",""
2011,"Birmingham","Windward Rd",""
2011,"Birmingham","Wood End Rd  Erdington","Wood End Rd, Erdington"
2011,"Birmingham","Woodbridge Rd  Moseley","Woodbridge road, moseley"
2011,"Birmingham","Wright St",""
2011,"Birmingham","Yardley Green Rd","yardley green road"
2011,"Birmingham","Yardley Rd Acocks Green","yardley road acocks green"
2011,"Birmingham","Yardley Wood Rd",""
2011,"Birmingham","Yardley Wood Rd",""
2011,"Birmingham","Yew Tree Car Park","Yew Tree car park"
2011,"Birmingham","Yew Tree Ln",""
2011,"Birmingham","Yew Tree Public House Car Park ","Yew Tree public house car park."
2011,"Birmingham","Armada Pub  Slade Rd  Erdington  Birmingham","Armada Pub, Slade Rd, Erdington, Birmingham"
2011,"Birmingham","Armarda Pub   Gravelly Hill","Armarda Pub,  Gravelly Hill"
2011,"Birmingham","Armarda Pub  Gravelly Hill","Armarda Pub, Gravelly Hill"
2011,"Birmingham","Badgers Bank Rd","BADGERS BANK ROAD"
2011,"Birmingham","Baldmoor Lake Rd  Erdington  Birmingham ","Baldmoor Lake Rd, Erdington, Birmingham."
2011,"Birmingham","Bandywood Rd  Kingstanding","bandywood Rd, kingstanding"
2011,"Birmingham","Beckenham Rd",""
2011,"Birmingham","Beeches Walk",""
2011,"Birmingham","Birmingham Rd","BIRMINGHAM RD"
2011,"Birmingham","Birmingham Rd","BIRMINGHAM RD"
2011,"Birmingham","Birmingham Rd  Sc","Birmingham Rd, SC"
2011,"Birmingham","Birmingham Rd",""
2011,"Birmingham","Birmingham Rd",""
2011,"Birmingham","Birmingham Rd Sutton","birmingham road sutton"
2011,"Birmingham","Birmingham Rd  Erdington","Birmingham Rd, Erdington"
2011,"Birmingham","Birmingham Rd  Sutton Coldfield","Birmingham Rd, Sutton Coldfield"
2011,"Birmingham","Birmingham Rd  Sutton Coldfield","Birmingham Rd, Sutton Coldfield"
2011,"Birmingham","Bowling Green Close","BOWLING GREEN CLOSE"
2011,"Birmingham","Bracebridge Rd  Erdington","Bracebridge Rd, Erdington"
2011,"Birmingham","Brassington Ave","brassington avenue"
2011,"Birmingham","Bromford Ln",""
2011,"Birmingham","Bromford Ln  Erdington  B Ham","Bromford Ln, Erdington, B'ham"
2011,"Birmingham","Brookvale Park Rd","Brookvale park Rd"
2011,"Birmingham","Carhampton Rd  Falcon Lodge  Sutton Colfield","Carhampton Rd, Falcon Lodge, Sutton Colfield"
2011,"Birmingham","Carshalton Rd",""
2011,"Birmingham","Carshorlton Rd","carshorlton Rd"
2011,"Birmingham","Chester Rd","chester rd"
2011,"Birmingham","Chester Rd","CHESTER ROAD"
2011,"Birmingham","Chester Rd  Halls Garden Centre","Chester Rd, Halls garden Centre"
2011,"Birmingham","Church Rd At Chester Rd","CHURCH RD AT CHESTER RD"
2011,"Birmingham","College Rd  Kingstanding  B Ham","College Rd, Kingstanding, B'ham"
2011,"Birmingham","College Rd  Kingstanding  B Ham","College Rd, Kingstanding, B'ham"
2011,"Birmingham","Copshill Court  Mount View  Sutton Coldfield","Copshill Court, Mount View, Sutton Coldfield"
2011,"Birmingham","Dovedale Rd  Erdington  B Ham","Dovedale Rd, Erdington, B'ham"
2011,"Birmingham","Downside Rd  Erdington  B Ham","Downside Rd, Erdington, B'ham"
2011,"Birmingham","Eachelhurt Rd  Erdington","Eachelhurt Rd, Erdington"
2011,"Birmingham","Erdington Hall Rd","ERDINGTON HALL ROAD"
2011,"Birmingham","Erdington Hall Rd","ERDINGTON HALL ROAD"
2011,"Birmingham","Erdington High St",""
2011,"Birmingham","Fentham Rd  Erdington  B Ham","Fentham Rd, Erdington, B'ham"
2011,"Birmingham","Finchley Rd","FINCHLEY ROAD"
2011,"Birmingham","Finchley Rd  Kingstanding  B Ham","Finchley Rd, Kingstanding, B'ham"
2011,"Birmingham","George Frederick Rd","GEORGE FREDERICK ROAD"
2011,"Birmingham","Golden Pond Take Away        Boldmere Rd","Golden Pond take away ¸æçñîº¸æçÜîº¸æò∂åº¸æôÜêº¸æçñîº¸æåÉ§º Boldmere Rd"
2011,"Birmingham","Good Hope Hospital","good hope hospital"
2011,"Birmingham","Gracechurch Centre",""
2011,"Birmingham","Gracechurch Centre  Outside Supercigs","Gracechurch centre, outside Supercigs"
2011,"Birmingham","Gracechurch Shopping Centre  Sutton Coldfield","GraceChurch Shopping Centre, Sutton Coldfield"
2011,"Birmingham","Grassed Area   Pype Hayes Park    ","grassed area , pype hayes park...."
2011,"Birmingham","Gravelley Ln","Gravelley lane"
2011,"Birmingham","Gravelley Ln","Gravelley lane"
2011,"Birmingham","Gravelley Ln","Gravelley lane"
2011,"Birmingham","Gravelly Ln  Erdington  Birmingham","Gravelly Ln, Erdington, Birmingham"
2011,"Birmingham","Hairy Lemon Pub  Sutton Coldfield","hairy lemon pub .sutton coldfield"
2011,"Birmingham","Hairy Lemon Pub  Sutton Coldfield","hairy lemon pub .sutton coldfield"
2011,"Birmingham","Hermatige Rd",""
2011,"Birmingham","Hermatige Rd",""
2011,"Birmingham","Hermitage Drive","HERMITAGE DRIVE"
2011,"Birmingham","High St",""
2011,"Birmingham","High St Erdington","high street erdington"
2011,"Birmingham","High St  Erdington","high street, erdington"
2011,"Birmingham","High St  Erdington","High St, Erdington"
2011,"Birmingham","High St  S C","High St, S/C"
2011,"Birmingham","High St  S C","High St, S/C"
2011,"Birmingham","Hight St Erdington","Hight St ErdINGTON"
2011,"Birmingham","Hunton Hill","HUNTON HILL"
2011,"Birmingham","Kfc Retail Outlet   Erdington High St","KFC retail outlet , Erdington High street"
2011,"Birmingham","Kingsbury Rd  Erdington  B Ham","Kingsbury Rd, Erdington, B'ham"
2011,"Birmingham","Kingstanding Circle",""
2011,"Birmingham","Ladywell Walk  Birmingham","Ladywell Walk, Birmingham"
2011,"Birmingham","Landsdown Rd",""
2011,"Birmingham","Lichfield Rd  Mere Green","LICHFIELD ROAD, MERE GREEN"
2011,"Birmingham","Lichfield Rd  Sutton Coldfield","LICHFIELD ROAD, SUTTON COLDFIELD"
2011,"Birmingham","Lindridge Rd  Sutton Coldfield","Lindridge Rd, Sutton Coldfield"
2011,"Birmingham","Little Aston Ln","little aston lane"
2011,"Birmingham","Longford Rd","LONGFORD ROAD"
2011,"Birmingham","Longford Rd  Kingstanding  B Ham","Longford Rd, Kingstanding, B'ham"
2011,"Birmingham","Lower Parade","lower parade"
2011,"Birmingham","Lower Parade","LOWER PARADE"
2011,"Birmingham","Lower Parade","lower parade"
2011,"Birmingham","Lower Parade","lower parade"
2011,"Birmingham","Lower Parade","lower parade"
2011,"Birmingham","Lower Parade","lower parade"
2011,"Birmingham","Lower Parade","LOWER PARADE"
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade","LOWER PARADE"
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade","LOWER PARADE"
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade","LOWER PARADE"
2011,"Birmingham","Lower Parade","LOWER PARADE"
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade",""
2011,"Birmingham","Lower Parade","LOWER PARADE"
2011,"Birmingham","Lower Parade Sc","lower parade SC"
2011,"Birmingham","Lower Parade Sutton","LOWER PARADE SUTTON"
2011,"Birmingham","Lower Parade Sutton Coldfield",""
2011,"Birmingham","Lower Parade ","lower parade,"
2011,"Birmingham","Lower Parade  Suton Coldfield","Lower parade, Suton Coldfield"
2011,"Birmingham","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower Parade  Sutton Coldfield","lower parade, sutton coldfield"
2011,"Birmingham","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
