"","Year","Area","Street","Street.2"
"225",2011,"","William Hill Bookmakers  Washwood Heath Rd","William Hill Bookmakers, Washwood Heath Rd"
"226",2011,"","William Hill Washwood Heath Rd","William Hill Washwood Heath Rd"
"227",2011,"","Windward Rd","Windward Rd"
"228",2011,"","Windward Rd","Windward Rd"
"229",2011,"","Wood End Rd  Erdington","Wood End Rd, Erdington"
"230",2011,"","Woodbridge Rd  Moseley","Woodbridge road, moseley"
"231",2011,"","Wright St","Wright St"
"232",2011,"","Yardley Green Rd","yardley green road"
"233",2011,"","Yardley Rd Acocks Green","yardley road acocks green"
"234",2011,"","Yardley Wood Rd","Yardley Wood Rd"
"235",2011,"","Yardley Wood Rd","Yardley Wood Rd"
"236",2011,"","Yew Tree Car Park","Yew Tree car park"
"237",2011,"","Yew Tree Ln","Yew Tree Ln"
"238",2011,"","Yew Tree Public House Car Park ","Yew Tree public house car park."
"239",2011,"","Armada Pub  Slade Rd  Erdington  Birmingham","Armada Pub, Slade Rd, Erdington, Birmingham"
"240",2011,"","Armarda Pub   Gravelly Hill","Armarda Pub,  Gravelly Hill"
"241",2011,"","Armarda Pub  Gravelly Hill","Armarda Pub, Gravelly Hill"
"242",2011,"","Badgers Bank Rd","BADGERS BANK ROAD"
"243",2011,"","Baldmoor Lake Rd  Erdington  Birmingham ","Baldmoor Lake Rd, Erdington, Birmingham."
"244",2011,"","Bandywood Rd  Kingstanding","bandywood Rd, kingstanding"
"245",2011,"","Beckenham Rd","Beckenham Rd"
"246",2011,"","Beeches Walk","Beeches Walk"
"247",2011,"","Birmingham Rd","BIRMINGHAM RD"
"248",2011,"","Birmingham Rd","BIRMINGHAM RD"
"249",2011,"","Birmingham Rd  Sc","Birmingham Rd, SC"
"250",2011,"","Birmingham Rd","Birmingham Rd"
"251",2011,"","Birmingham Rd","Birmingham Rd"
"252",2011,"","Birmingham Rd Sutton","birmingham road sutton"
"253",2011,"","Birmingham Rd  Erdington","Birmingham Rd, Erdington"
"254",2011,"","Birmingham Rd  Sutton Coldfield","Birmingham Rd, Sutton Coldfield"
"255",2011,"","Birmingham Rd  Sutton Coldfield","Birmingham Rd, Sutton Coldfield"
"256",2011,"","Bowling Green Close","BOWLING GREEN CLOSE"
"257",2011,"","Bracebridge Rd  Erdington","Bracebridge Rd, Erdington"
"258",2011,"","Brassington Ave","brassington avenue"
"259",2011,"","Bromford Ln","Bromford Ln"
"260",2011,"","Bromford Ln  Erdington  B Ham","Bromford Ln, Erdington, B'ham"
"261",2011,"","Brookvale Park Rd","Brookvale park Rd"
"262",2011,"","Carhampton Rd  Falcon Lodge  Sutton Colfield","Carhampton Rd, Falcon Lodge, Sutton Colfield"
"263",2011,"","Carshalton Rd","Carshalton Rd"
"264",2011,"","Carshorlton Rd","carshorlton Rd"
"265",2011,"","Chester Rd","chester rd"
"266",2011,"","Chester Rd","CHESTER ROAD"
"267",2011,"","Chester Rd  Halls Garden Centre","Chester Rd, Halls garden Centre"
"268",2011,"","Church Rd At Chester Rd","CHURCH RD AT CHESTER RD"
"269",2011,"","College Rd  Kingstanding  B Ham","College Rd, Kingstanding, B'ham"
"270",2011,"","College Rd  Kingstanding  B Ham","College Rd, Kingstanding, B'ham"
"271",2011,"","Copshill Court  Mount View  Sutton Coldfield","Copshill Court, Mount View, Sutton Coldfield"
"272",2011,"","Dovedale Rd  Erdington  B Ham","Dovedale Rd, Erdington, B'ham"
"273",2011,"","Downside Rd  Erdington  B Ham","Downside Rd, Erdington, B'ham"
"274",2011,"","Eachelhurt Rd  Erdington","Eachelhurt Rd, Erdington"
"275",2011,"","Erdington Hall Rd","ERDINGTON HALL ROAD"
"276",2011,"","Erdington Hall Rd","ERDINGTON HALL ROAD"
"277",2011,"","Erdington High St","Erdington High St"
"278",2011,"","Fentham Rd  Erdington  B Ham","Fentham Rd, Erdington, B'ham"
"279",2011,"","Finchley Rd","FINCHLEY ROAD"
"280",2011,"","Finchley Rd  Kingstanding  B Ham","Finchley Rd, Kingstanding, B'ham"
"281",2011,"","George Frederick Rd","GEORGE FREDERICK ROAD"
"282",2011,"","Golden Pond Take Away        Boldmere Rd","Golden Pond take away ¸æçñîº¸æçÜîº¸æò∂åº¸æôÜêº¸æçñîº¸æåÉ§º Boldmere Rd"
"283",2011,"","Good Hope Hospital","good hope hospital"
"284",2011,"","Gracechurch Centre","Gracechurch Centre"
"285",2011,"","Gracechurch Centre  Outside Supercigs","Gracechurch centre, outside Supercigs"
"286",2011,"","Gracechurch Shopping Centre  Sutton Coldfield","GraceChurch Shopping Centre, Sutton Coldfield"
"287",2011,"","Grassed Area   Pype Hayes Park    ","grassed area , pype hayes park...."
"288",2011,"","Gravelley Ln","Gravelley lane"
"289",2011,"","Gravelley Ln","Gravelley lane"
"290",2011,"","Gravelley Ln","Gravelley lane"
"291",2011,"","Gravelly Ln  Erdington  Birmingham","Gravelly Ln, Erdington, Birmingham"
